group_id,year,max_distance
22,2024,20993.51682399194
23,2014,0.0
23,2016,38987.306955313754
23,2018,84961.85903414692
23,2020,84961.85903414692
24,2015,0.0
24,2016,32274.320266982297
24,2021,119540.41419738576
24,2022,119540.41419738576
24,2023,119540.41419738576
24,2024,119540.41419738576
25,2015,0.0
25,2017,11152.72551703784
25,2019,11152.72551703784
26,2015,0.0
26,2016,2020.4578737337135
26,2017,6197.905440389108
26,2019,6205.528922266614
26,2020,6205.528922266614
26,2021,9425.391895325238
26,2022,17222.40249339718
26,2023,17222.40249339718
27,2010,0.0
27,2017,3799.622831198951
27,2018,9523.142046704108
27,2021,9523.142046704108
28,2015,0.0
28,2017,6428.160370512506
28,2018,33809.6106136366
28,2019,39609.353743657535
28,2020,39609.353743657535
28,2021,39609.353743657535
28,2022,44194.9882465841
28,2023,44288.1902324083
28,2024,44303.5086823941
29,2014,0.0
29,2017,85954.27340474278
29,2018,85954.27340474278
29,2019,85954.27340474278
29,2020,85954.27340474278
29,2021,112045.38159294167
29,2022,159880.423698976
29,2023,159880.423698976
29,2024,159880.423698976
3,1993,0.0
3,2007,237138.22297652345
3,2010,351866.50528319844
3,2016,409835.5039844529
3,2017,744944.6522678375
3,2018,744944.6522678375
3,2019,744944.6522678375
3,2020,744944.6522678375
3,2021,744944.6522678375
3,2022,744944.6522678375
3,2023,744944.6522678375
3,2024,744944.6522678375
30,2013,4904.060655302468
30,2016,4904.060655302468
30,2017,4904.060655302468
30,2018,4904.060655302468
30,2019,4904.060655302468
30,2020,4904.060655302468
31,2015,0.0
31,2018,823.1872547626444
31,2019,2195.959524486909
31,2020,2195.959524486909
31,2021,15703.812400156092
31,2022,28971.63621346436
31,2023,28971.63621346436
32,2016,0.0
32,2018,212351.86310400194
32,2019,233522.31268897746
32,2020,248322.07701833238
32,2021,377919.68427696923
32,2022,377957.18380017957
32,2023,377957.18380017957
32,2024,377957.18380017957
33,2012,0.0
33,2019,9577.468198552093
33,2020,9583.962890755824
33,2022,9583.962890755824
34,2011,0.0
34,2015,401.7525886587786
34,2016,453.4580882048097
34,2017,453.7778284394818
34,2018,453.7778284394818
34,2019,9178.83632081322
34,2020,9178.83632081322
34,2021,9178.83632081322
34,2022,9178.83632081322
34,2023,9178.83632081322
35,2018,33.27280248229937
35,2019,9754.63928449302
35,2020,9754.63928449302
35,2021,9754.63928449302
35,2022,9754.63928449302
36,2017,48.921632151824234
36,2018,57.00422497693669
36,2019,3903.442406012406
36,2020,3903.442406012406
36,2021,8696.156485445117
36,2022,13806.152937338758
36,2023,23432.58782523349
36,2024,23432.58782523349
37,2015,0.0
37,2019,72462.71409204736
37,2022,125342.770274392
37,2023,125342.770274392
37,2024,301411.4935756213
38,2016,0.0
38,2019,29504.254352483378
38,2020,52906.63927830805
38,2021,52906.63927830805
38,2022,53403.97745870163
38,2023,53403.97745870163
38,2024,53403.97745870163
39,2014,3569.114856951484
39,2020,13071.189256917196
39,2022,21089.532672271176
4,2004,0.0
4,2007,50.138902893106284
4,2008,58483.692432598
4,2009,58485.57974230119
4,2010,135768.82270107968
4,2011,135768.82270107968
4,2012,135768.82270107968
4,2013,135768.82270107968
4,2014,135768.82270107968
4,2015,135768.82270107968
4,2016,135768.82270107968
4,2017,135768.82270107968
4,2018,135768.82270107968
4,2019,135768.82270107968
4,2020,135768.82270107968
4,2021,135768.82270107968
4,2022,135768.82270107968
4,2023,135768.82270107968
4,2024,135768.82270107968
40,2019,0.0
40,2020,7098.4511921645335
40,2021,10997.862000857516
40,2022,11075.300319780585
40,2023,11939.003368932412
40,2024,20742.06267733285
41,2019,0.0
41,2020,9202.913855694058
41,2022,25038.640101931796
41,2023,25038.640101931796
41,2024,25038.640101931796
42,2019,2.496899736469114
42,2020,10834.068479917289
42,2024,11303.15355947773
43,2018,0.0
43,2020,14850.985597827064
43,2021,14850.985597827064
43,2022,14850.985597827064
43,2023,14852.225684091214
43,2024,19171.227964792055
44,2019,0.0
44,2021,13203.034598446211
45,2016,0.0
45,2021,10307.125148931877
45,2022,123482.68118891596
45,2023,141456.30756205547
45,2024,141456.30756205547
46,2009,312.26715804807753
46,2010,360.7096133403307
46,2021,10576.989000907688
46,2022,10577.417769420244
47,2019,0.0
47,2021,6804.756725780033
47,2022,6804.756725780033
48,2020,0.0
48,2021,13974.410842637168
48,2022,13974.410842637168
48,2023,28315.593993708528
48,2024,28315.593993708528
49,2019,457.91592706613585
49,2020,1490.3807007306605
49,2021,5790.381055683522
5,2007,0.0
5,2008,44450.199633137294
5,2009,44450.199633137294
5,2010,101114.89234021986
5,2011,101114.89234021986
5,2012,101114.89234021986
5,2013,209073.6584859991
5,2014,209073.6584859991
5,2015,209073.6584859991
5,2016,278031.22816999396
5,2017,278031.22816999396
5,2018,305707.78652029776
5,2019,356512.145131452
5,2020,366453.0018387041
5,2021,366453.0018387041
5,2022,366453.0018387041
5,2023,366453.0018387041
5,2024,366453.0018387041
50,2020,106.41393141565162
50,2021,5217.40754800442
50,2022,5217.40754800442
50,2023,26364.778723545092
50,2024,26364.778723545092
51,2020,0.0
51,2021,89337.52382001514
51,2024,94132.6591921609
52,2019,0.0
52,2020,38.77941385783456
52,2022,13313.320625228564
53,2018,0.0
53,2019,1204.3848722169594
53,2022,3395.0358539715266
54,2015,437.14571725190956
54,2022,5609.236711189387
55,2021,0.0
55,2022,35125.173774574054
55,2023,35125.173774574054
55,2024,36504.33595948402
56,2020,0.0
56,2022,17537.427318975566
56,2023,17537.427318975566
56,2024,17537.427318975566
57,2020,0.0
57,2021,2516.1175587695607
57,2022,3027.439492862104
57,2023,3027.439492862104
57,2024,3027.439492862104
58,2020,0.0
58,2022,4745.412453877486
58,2023,7860.839860277636
58,2024,7860.839860277636
59,2020,0.0
59,2022,21037.925118375177
59,2023,21037.925118375177
6,2005,0.0
6,2008,2510.3657634447895
6,2011,2510.3657634447895
6,2012,2510.3657634447895
6,2013,2510.3657634447895
6,2017,7371.851839581122
6,2018,7371.851839581122
6,2019,15805.34312153727
6,2020,15805.34312153727
6,2021,15805.34312153727
6,2022,24048.921621014644
6,2023,24048.921621014644
6,2024,24048.921621014644
60,2020,0.0
